,Description,Price,Rating,ReviewCount,Url,Url_img,Brand
10,Fs4813p Grant Chronograph Brown Leather Watch Watch For Men,149.0,4.3,3150,https://www.amazon.ca/Fossil-FS4813-Grant-Stainless-Leather/dp/B00AFTTQ8I/ref=sr_1_11?keywords=watch&qid=1655330831&s=fashion&sr=1-11,https://m.media-amazon.com/images/I/81Odr+AvRlL._AC_UL320_.jpg,Fossil
11,Men’s Watch Black Luxury Mechanical Stainless Steel Skeleton Waterproof Automatic Self-Winding Roman Numerals Diamond Dial Wrist Watch,56.99,4.0,673,https://www.amazon.ca/Mechanical-Stainless-Waterproof-Automatic-Self-Winding/dp/B07TDJWQBT/ref=sr_1_12?keywords=watch&qid=1655330831&s=fashion&sr=1-12,https://m.media-amazon.com/images/I/61NkqCk+vUS._AC_UL320_.jpg,Senors
12,"Mens Digital Sports Watch, Waterproof LED Screen Large Face Military Watches and Heavy Duty Electronic Simple Army Watch with Alarm, Stopwatch, Luminous Night Light - Black",22.99,4.4,479,https://www.amazon.ca/Aposon-Military-Digital-Electronic-Resistant/dp/B01BA77L12/ref=sr_1_13?keywords=watch&qid=1655330831&s=fashion&sr=1-13,https://m.media-amazon.com/images/I/61YvCae07fL._AC_UL320_.jpg,MJSCPHBJK
13,"Men’s Watch Fashion Sport Quartz Analog Mesh Stainless Steel Waterproof Chronograph Watches, Auto Date in Blue/Red/Grey/Gold Hands, Color: Black",39.98,4.3,7346,https://www.amazon.ca/Fashion-Stainless-Waterproof-Chronograph-Watches/dp/B07YQRKJP4/ref=sr_1_14?keywords=watch&qid=1655330831&s=fashion&sr=1-14,https://m.media-amazon.com/images/I/71Meq7sFVqL._AC_UL320_.jpg,GOLDEN HOUR
14,"Men's T2P132AW Elevated Classics Blue Dial, Silver-Tone Expansion Band Watch",56.9,4.0,342,https://www.amazon.ca/Timex-T2P132AW-Elevated-Silver-Tone-Expansion/dp/B00BTTZAFQ/ref=sr_1_15?keywords=watch&qid=1655330831&s=fashion&sr=1-15,https://m.media-amazon.com/images/I/81E0rllbW2L._AC_UL320_.jpg,Timex
15,Men's Digital Sports Watch Waterproof Tactical Watch with LED Backlight Watch for Men,25.88,4.2,15014,https://www.amazon.ca/PALADA-T7005G-Waterproof-Digital-Watches/dp/B015H3KYLO/ref=sr_1_16?keywords=watch&qid=1655330831&s=fashion&sr=1-16,https://m.media-amazon.com/images/I/61uyt0TfoEL._AC_UL320_.jpg,PALADA
17,Men's Nate Blacktone Bracelet and Dial Watch,118.99,4.4,6330,https://www.amazon.ca/Fossil-JR1401-Stainless-Steel-Bracelet/dp/B008AXYWHQ/ref=sr_1_18?keywords=watch&qid=1655330831&s=fashion&sr=1-18,https://m.media-amazon.com/images/I/718AVhhc1GL._AC_UL320_.jpg,Fossil
18,Men's Diamond - 97D116,345.99,4.6,201,https://www.amazon.ca/Bulova-Dress-Style-Black-Watch/dp/B0722KRBDG/ref=sr_1_19?keywords=watch&qid=1655330831&s=fashion&sr=1-19,https://m.media-amazon.com/images/I/61B1pLkprEL._AC_UL320_.jpg,Bulova
19,Men's Watch,180.99,4.4,2521,https://www.amazon.ca/Bulova-96B104-Strap-Silver-Watch/dp/B002IDTUHG/ref=sr_1_20?keywords=watch&qid=1655330831&s=fashion&sr=1-20,https://m.media-amazon.com/images/I/61FIjA89G8L._AC_UL320_.jpg,Bulova
20,Women Watches Leather Band Casual Geneva Waterproof Girls Dress Wristwatch Creative Ladies Watch,27.99,4.3,1569,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A0761258IURL6RDOC490&url=%2FFashion-Ladies-Watches-Leather-Wristwatch%2Fdp%2FB07FNBK2LH%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-21-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_mtf,https://m.media-amazon.com/images/I/61tapuLwkNL._AC_UL320_.jpg,SHENGKE
21,Luxury Stainless Steel Analog Digital Watches for Men Male Outdoor Sport Waterproof Big Heavy Wristwatch,33.99,4.2,4783,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A0360403N3LCZ7R8CY69&url=%2FTamlee-Digital-Watches-Military-Wristwatch%2Fdp%2FB07G4Z8MHC%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-22-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_mtf,https://m.media-amazon.com/images/I/71g09nzkrYL._AC_UL320_.jpg,GOLDEN HOUR
22,"Smart Watch, Fitness Tracker with Heart Rate Monitor, Waterproof Smartwatch, Fitness Watch for Men, Stainless Steel Band Compatible with Android iOS…",76.99,4.1,92,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A081107031UBR8Q7VZUQE&url=%2FLIGE-Waterproof-Smartwatch-Stainless-Compatible%2Fdp%2FB0B1557ZXQ%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-23-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_mtf,https://m.media-amazon.com/images/I/71M2snlsfdL._AC_UL320_.jpg,LIGE
23,"Custom Engraved Wood Watch for Him Husband - Wooden Watches for Men, Casual Wrist Watch with Leather Band, Analog Watch",33.99,4.2,71,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A00411333RVXMHUDFRYXY&url=%2FPersonalized-Engraved-Wood-Watch-Him%2Fdp%2FB08HV4211V%2Fref%3Dsr_1_24_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-24-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_mtf,https://m.media-amazon.com/images/I/81QvNwzBVAS._AC_UL320_.jpg,TGHA
24,Men's 96B220 Classic Analog Display Japanese Quartz White Watch,189.99,4.2,241,https://www.amazon.ca/Bulova-96B220-Classic-Display-Japanese/dp/B00LMNB0YY/ref=sr_1_25?keywords=watch&qid=1655330831&s=fashion&sr=1-25,https://m.media-amazon.com/images/I/8175+lCCJEL._AC_UL320_.jpg,Bulova
25,Men's Expedition Scout 40 Watch,40.9,4.3,17244,https://www.amazon.ca/Timex-TW4B12500-Expedition-Scout-Leather/dp/B071RN6K8C/ref=sr_1_26?keywords=watch&qid=1655330831&s=fashion&sr=1-26,https://m.media-amazon.com/images/I/91IriuV+C2L._AC_UL320_.jpg,Timex
26,Men's South Street Sport Watch,58.59,4.3,5502,https://www.amazon.ca/Timex-T2M932-Silver-Tone-Stainless-Expansion/dp/B001RNOALO/ref=sr_1_27?keywords=watch&qid=1655330831&s=fashion&sr=1-27,https://m.media-amazon.com/images/I/81BZHlztBML._AC_UL320_.jpg,Timex
27,BENYAR Montre Homme/Men's Watches Waterproof Sport Military Watch for Men Multifunction Chronograph Black Fashion Quartz Wristwatches Calendar with Leather Strap,42.49,4.4,5046,https://www.amazon.ca/BENYAR-Waterproof-Multifunction-Chronograph-Wristwatches/dp/B07TG986QD/ref=sr_1_28?keywords=watch&qid=1655330831&s=fashion&smid=A2A8F374HWVDOQ&sr=1-28,https://m.media-amazon.com/images/I/61z+nCR1JTL._AC_UL320_.jpg,BY BENYAR
28,Men's 44mm Townsman - FS5437,174.8,4.7,1448,https://www.amazon.ca/Fossil-Townsman-Quartz-Stainless-Leather/dp/B079D9VSZD/ref=sr_1_29?keywords=watch&qid=1655330831&s=fashion&sr=1-29,https://m.media-amazon.com/images/I/61FCTOS0xAL._AC_UL320_.jpg,Fossil
29,Men's Machine Stainless Steel Quartz Chronograph Watch,162.5,4.0,3668,https://www.amazon.ca/Fossil-Machine-Quartz-Leather-Chronograph/dp/B07TCQRRWR/ref=sr_1_30?keywords=watch&qid=1655330831&s=fashion&sr=1-30,https://m.media-amazon.com/images/I/81xVP6iJXUL._AC_UL320_.jpg,Fossil
30,"Men's TR90 Japanese Quartz Watch with Rubber Strap, Black, 19.5 (Model: 2011010), Black, Quartz Watch",88.12,4.6,378,https://www.amazon.ca/Lacoste-12-12-Quartz-Rubber-Casual/dp/B07N7FRJQS/ref=sr_1_31?keywords=watch&qid=1655330831&s=fashion&sr=1-31,https://m.media-amazon.com/images/I/81ldwcsWtgL._AC_UL320_.jpg,Lacoste
31,Men's T49963GP Expedition Scout Metal Cream Dial and Brown Leather Strap,46.35,4.4,296,https://www.amazon.ca/Timex-T49963GP-Expedition-Scout-Leather/dp/B00IT2X6FC/ref=sr_1_32?keywords=watch&qid=1655330831&s=fashion&sr=1-32,https://m.media-amazon.com/images/I/81zMD9qxhFL._AC_UL320_.jpg,Timex
32,45MM Stainless Steel Watch,150.36,4.0,973,https://www.amazon.ca/GUESS-U0668G2-Stainless-Steel-Chronograph/dp/B00V49K740/ref=sr_1_33?keywords=watch&qid=1655330831&s=fashion&sr=1-33,https://m.media-amazon.com/images/I/815ixaaYx5L._AC_UL320_.jpg,Guess
33,Men's Townsman Stainless Steel Mechanical Automatic Watch,230.49,4.4,2116,https://www.amazon.ca/Fossil-ME3110-Townsman-Automatic-Leather/dp/B0183NWFB2/ref=sr_1_34?keywords=watch&qid=1655330831&s=fashion&sr=1-34,https://m.media-amazon.com/images/I/61M9P8es6JL._AC_UL320_.jpg,Fossil
34,"Watch, Mens Watch, Minimalist Fashion Simple Wrist Watch Analog Date with Leather Strap…",33.99,4.1,1831,https://www.amazon.ca/Minimalist-Fashion-Simple-Analog-Leather/dp/B08DHZNWK7/ref=sr_1_35?keywords=watch&qid=1655330831&s=fashion&sr=1-35,https://m.media-amazon.com/images/I/61QeNWSSHaL._AC_UL320_.jpg,BEN NEVIS
35,Men's 45mm Marine Star Stainless Steel Chronograph Bracelet Watch,384.74,4.7,231,https://www.amazon.ca/Bulova-96B272-MARINE-Chronograph-Watch/dp/B0733PT6VC/ref=sr_1_36?keywords=watch&qid=1655330831&s=fashion&sr=1-36,https://m.media-amazon.com/images/I/81GbXYQRp8S._AC_UL320_.jpg,Bulova
36,Men's Expedition Scout Solar-Powered 40mm Watch,86.25,4.4,951,https://www.amazon.ca/Timex-TW4B18400-Expedition-Gunmetal-Leather/dp/B083JYH9XC/ref=sr_1_37?keywords=watch&qid=1655330831&s=fashion&sr=1-37,https://m.media-amazon.com/images/I/81cXiiV-UuL._AC_UL320_.jpg,Timex
37,TW2P81400GP Men's Classic White Dial and Two Tone Stainless Steel Expansion Band Watch,52.96,4.6,225,https://www.amazon.ca/Timex-TW2P81400GP-Classic-Stainless-Expansion/dp/B01CLD8RVW/ref=sr_1_38?keywords=watch&qid=1655330831&s=fashion&sr=1-38,https://m.media-amazon.com/images/I/81xxYsR3XbL._AC_UL320_.jpg,Timex
38,Men's Watch BENYAR Watches for Men Silver/Brown/Black/Blue Fashion Quartz Wristwatches Leather/Stainless Steel Strap Multifunction Chronograph Sport Military Watch with Calendar Waterproof 30M…,49.99,4.3,4416,https://www.amazon.ca/Watches-Chronograph-Stainless-Waterproof-Business/dp/B07Z525F8K/ref=sr_1_39?keywords=watch&qid=1655330831&s=fashion&sr=1-39,https://m.media-amazon.com/images/I/719X3F8CaCL._AC_UL320_.jpg,BY BENYAR
39,Men's Radio Sync Solar Coutura Silvertone Watch,595.96,4.0,350,https://www.amazon.ca/Seiko-COUTURA-Quartz-Stainless-Casual/dp/B073PLF8XZ/ref=sr_1_40?keywords=watch&qid=1655330831&s=fashion&sr=1-40,https://m.media-amazon.com/images/I/91i7u01fcjL._AC_UL320_.jpg,Seiko
40,"Quartz Watch with Resin Strap, Clear, 20 (Model: F-91WS-7CF)",34.96,4.7,1204,https://www.amazon.ca/Casio-Quartz-Watch-Resin-Strap/dp/B086RNZX13/ref=sr_1_42?keywords=watch&qid=1655330831&s=fashion&sr=1-42,https://m.media-amazon.com/images/I/51bVWWw7yuL._AC_UL320_.jpg,Casio
42,Mens Camper Watch,44.86,4.4,2940,https://www.amazon.ca/Timex-T49713-Expedition-Camper-Black/dp/B00284C9U0/ref=sr_1_44?keywords=watch&qid=1655330831&s=fashion&sr=1-44,https://m.media-amazon.com/images/I/71JBR9KLeFS._AC_UL320_.jpg,Timex
43,Men's Stainless Steel Bracelet Watch,91.98,4.6,549,https://www.amazon.ca/Citizen-BI5010-59E-Wrist-Watches-Silver/dp/B010FQP7BK/ref=sr_1_45?keywords=watch&qid=1655330831&s=fashion&sr=1-45,https://m.media-amazon.com/images/I/71mMstMtXlL._AC_UL320_.jpg,Citizen
44,Men’s Classic Aerojet 96A199,285.54,4.6,537,https://www.amazon.ca/Bulova-97A136-Automatic-Mens-Watch/dp/B0722KQ3W5/ref=sr_1_46?keywords=watch&qid=1655330831&s=fashion&sr=1-46,https://m.media-amazon.com/images/I/81zKsRISV9L._AC_UL320_.jpg,Bulova
45,Men's The Minimalist - FS5305,119.39,4.4,1047,https://www.amazon.ca/Fossil-Minimalist-Quartz-Stainless-Leather/dp/B06VVD9TLZ/ref=sr_1_47?keywords=watch&qid=1655330831&s=fashion&sr=1-47,https://m.media-amazon.com/images/I/617T6cRwooL._AC_UL320_.jpg,Fossil
46,Men's 43mm Classic Automatic Watch,418.95,4.7,600,https://www.amazon.ca/Bulova-96A187-Automatic-Mechanical-Stainless/dp/B01HGWCNS6/ref=sr_1_48?keywords=watch&qid=1655330831&s=fashion&sr=1-48,https://m.media-amazon.com/images/I/8175itzcKNL._AC_UL320_.jpg,Bulova
47,"Men's Diver Inspired Stainless Steel Quartz Watch with Resin Strap, Gold, 25.6 (Model: MDV106G-1AV)",89.38,4.7,1674,https://www.amazon.ca/Casio-Inspired-Stainless-Quartz-Casual/dp/B083VMXGR4/ref=sr_1_49?keywords=watch&qid=1655330831&s=fashion&sr=1-49,https://m.media-amazon.com/images/I/81mBS2mmyGL._AC_UL320_.jpg,Casio
48,Bambino Open Heart' Japanese Automatic Stainless Steel and Leather Dress Watch,255.86,4.7,500,https://www.amazon.ca/Orient-Bambino-Japanese-Automatic-Stainless/dp/B07B4C7ZP4/ref=sr_1_50?keywords=watch&qid=1655330831&s=fashion&sr=1-50,https://m.media-amazon.com/images/I/71ri-BYiiIL._AC_UL320_.jpg,Orient
49,Easy Reader 38mm Leather Strap Watch,39.1,4.0,7246,https://www.amazon.ca/Timex-TW2R63800-Silver-Tone-Pattern-Leather/dp/B072P1WLGL/ref=sr_1_51?keywords=watch&qid=1655330831&s=fashion&sr=1-51,https://m.media-amazon.com/images/I/819Y8iCWweL._AC_UL320_.jpg,Timex
50,Men's Easy to Read Strap Watch,27.2,4.3,995,https://www.amazon.ca/Amazon-Essentials-Silver-Tone-AE-1000BKSV/dp/B07YQFST6X/ref=sr_1_52?keywords=watch&qid=1655330831&s=fashion&sr=1-52,https://m.media-amazon.com/images/I/81SkKZjDDyL._AC_UL320_.jpg,Amazon Essentials
51,"Men's Collider Hybrid Smartwatch HR with Always-On Readout Display, Heart Rate, Activity Tracking, Smartphone Notifications, Message Previews",245.9,4.4,2892,https://www.amazon.ca/Fossil-Collider-Stainless-Hybrid-Smartwatch/dp/B083YD6GYY/ref=sr_1_53?keywords=watch&qid=1655330831&s=fashion&sr=1-53,https://m.media-amazon.com/images/I/81a6mhowkOL._AC_UL320_.jpg,Fossil
52,Men's '2nd Gen. Bambino Ver. 2' Japanese Automatic Stainless Steel and Leather Dress Watch,171.56,4.6,3106,https://www.amazon.ca/Orient-Bambino-Japanese-Automatic-Stainless/dp/B01N45HWRM/ref=sr_1_54?keywords=watch&qid=1655330831&s=fashion&sr=1-54,https://m.media-amazon.com/images/I/61Wuco1eGoL._AC_UL320_.jpg,Orient
53,Ironman Classic 30 Full-Size 38mm Watch,53.31,4.4,12849,https://www.amazon.ca/Timex-TW5M18700-Ironman-Classic-Negative/dp/B079D86TVD/ref=sr_1_55?keywords=watch&qid=1655330831&s=fashion&sr=1-55,https://m.media-amazon.com/images/I/91tK8GlvU7L._AC_UL320_.jpg,Timex
54,Mens Supersport Chrono Stainless Steel Casual Watch Grey T1256171105100,595.0,4.7,78,https://www.amazon.ca/Tissot-Supersport-Chrono-Stainless-T1256171105100/dp/B08JVLMWDT/ref=sr_1_56?keywords=watch&qid=1655330831&s=fashion&sr=1-56,https://m.media-amazon.com/images/I/61eMRFhAnNL._AC_UL320_.jpg,Tissot
55,Man's Watches Nice Fashion Men Dress Watch Classic Business Casual Quartz Watch for Men Waterproof,19.99,4.0,450,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A02139482039RL6B5P04T&url=%2FBRIGADA-Minimalist-Quartz-Waterproof-Watches%2Fdp%2FB078NVVRZH%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-57-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_btf,https://m.media-amazon.com/images/I/71fOeiv3q3L._AC_UL320_.jpg,BRIGADA
56,"Samsung Galaxy Watch (46mm) Silver (Bluetooth), SM-R800 – International Version -No Warranty",229.72,4.0,760,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A02583742UST4NN6MV3A7&url=%2FSamsung-Galaxy-Silver-Bluetooth-SM-R800%2Fdp%2FB07GK1RLX3%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-58-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_btf,https://m.media-amazon.com/images/I/61hh3s6CrZL._AC_UL320_.jpg,Samsung
57,Mens Luxury Watches Rotatable Bezel Sapphire Glass Luminous Hand Quartz Silver Tone Stainless Steel Watch,61.9,4.4,176,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A0388377MVW8IVK9AFIF&url=%2FPASOY-Luminous-Stainless-Rotatable-Waterproof%2Fdp%2FB01GAKRASS%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-59-spons%26psc%3D1%26smid%3DA21PTRPTREZ86&qualifier=1655330831&id=1351915097760973&widgetName=sp_btf,https://m.media-amazon.com/images/I/71WzHR8pV9L._AC_UL320_.jpg,PASOY
58,"SHENGKE Marble Watch Quartz Ultra-Thin Minimalist Watch for Women Creative Women Watches Waterproof,Relogio Feminino",28.99,4.4,27,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_fashion-mens-watches_sr_pg1_1?ie=UTF8&adId=A09812393V9ZM8BE42D3R&url=%2FSHENGKE-Ultra-Thin-Minimalist-Creative-Waterproof%2Fdp%2FB086PPC38L%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dwatch%26qid%3D1655330831%26s%3Dfashion%26sr%3D1-60-spons%26psc%3D1&qualifier=1655330831&id=1351915097760973&widgetName=sp_btf,https://m.media-amazon.com/images/I/519F8W7RjkL._AC_UL320_.jpg,SINOBI
59,"Mens Watches, FOXBOX Fashion Waterproof Stainless Steel Analogue Quartz Movement Watch Business Automatic Calendar Wrist Watch for Men",35.99,4.8,7,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_fashion-mens-watches_sr_pg2_1?ie=UTF8&adId=A0130045SNCIACU6E2L6&url=%2FFOXBOX-Chronograph-Stainless-Waterproof-Business%2Fdp%2FB09VT4B2DT%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dwatch%26qid%3D1655330842%26s%3Dfashion%26sr%3D1-49-spons%26psc%3D1&qualifier=1655330842&id=3928480223979793&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71Ll1y-sR0L._AC_UL320_.jpg,FOXBOX
60,Men Watch FILIEKEU Silicone Men Wrist Watch Quartz Movement 3ATM Waterproof Multifunctional with Date Design Sporty Casual Business Dress Watches for Men Reloj de Hombre,49.99,4.8,40,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_fashion-mens-watches_sr_pg2_1?ie=UTF8&adId=A021989532S75YC2HL8U8&url=%2FFILIEKEU-Silicone-Movement-Waterproof-Multifunctional%2Fdp%2FB09LV6YRWZ%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dwatch%26qid%3D1655330842%26s%3Dfashion%26sr%3D1-50-spons%26psc%3D1&qualifier=1655330842&id=3928480223979793&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/61WKfeU9qEL._AC_UL320_.jpg,FILIEKEU
61,Mens Watch Watches Men tonneau Luxury Wristwatch 50M Waterproof Sapphire Glass Japanese Quartz Movement Silicone Strap Chronograph A Level Luminous Business Sports Fashion Casual Watches,259.99,4.3,63,https://www.amazon.ca/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_fashion-mens-watches_sr_pg2_1?ie=UTF8&adId=A09757122QKV01JWI2S4K&url=%2FTSAR-BOMBA-Wristwatch-Waterproof-Chronograph%2Fdp%2FB09N3SN7NV%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dwatch%26qid%3D1655330842%26s%3Dfashion%26sr%3D1-51-spons%26psc%3D1&qualifier=1655330842&id=3928480223979793&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/61MLZ1e-+DS._AC_UL320_.jpg,TSAR BOMBA
63,Men's 98C120 Sport Analog Display Japanese Quartz Two Tone Watch,289.99,4.7,87,https://www.amazon.ca/Bulova-98C120-Analog-Display-Japanese/dp/B00LMN8ZGK/ref=sr_1_53?keywords=watch&qid=1655330842&s=fashion&sr=1-53,https://m.media-amazon.com/images/I/81nhPhU76bS._AC_UL320_.jpg,Bulova
64,5K198 Ironman Triathlon 30 Lap Shock Resistant Watch,54.96,4.0,366,https://www.amazon.ca/Timex-5K198-Ironman-Triathlon-Resistant/dp/B003LL3TMQ/ref=sr_1_54?keywords=watch&qid=1655330842&s=fashion&sr=1-54,https://m.media-amazon.com/images/I/813etQSSLDL._AC_UL320_.jpg,Timex
65,Mens Townsman - FS5279,142.4,4.7,1289,https://www.amazon.ca/Fossil-Townsman-Stainless-Leather-Chronograph/dp/B01MQ5V6ZR/ref=sr_1_55?keywords=watch&qid=1655330842&s=fashion&sr=1-55,https://m.media-amazon.com/images/I/81J80MqIAfL._AC_UL320_.jpg,Fossil
